open,high,low,close,volume,close_time,quote,takers_buy_base,takers_buy_quote,predicted_close,actual_close,abs_error
6162.1,6240.0,6078.0,6208.36,5293.262234,2020-03-20 18:59:59.999000-05:00,32631644.98835604,2671.763426,16475744.28856252,0.05103129,0.049364667,0.0016666241
6204.57,6223.2,6062.03,6140.88,6418.758485,2020-03-20 19:59:59.999000-05:00,39316583.91867077,3297.659327,20199392.83271718,0.050067246,0.049684472,0.00038277358
6140.88,6294.77,6129.36,6285.0,4447.483985,2020-03-20 20:59:59.999000-05:00,27721633.65660711,2376.924511,14813603.86816569,0.05002594,0.04944115,0.0005847886
6285.0,6380.0,6230.33,6278.37,6756.131762,2020-03-20 21:59:59.999000-05:00,42629842.11158661,3198.664242,20188184.8487779,0.048021406,0.05046699,0.0024455823
6278.71,6287.22,6156.01,6267.45,5195.585263,2020-03-20 22:59:59.999000-05:00,32325181.84736414,2587.178223,16099252.81360465,0.046833962,0.052005365,0.0051714033
6269.34,6330.18,6140.0,6174.87,3814.947331,2020-03-20 23:59:59.999000-05:00,23764181.88574647,1646.112984,10254208.63236361,0.04782945,0.05087303,0.0030435808
6173.77,6216.65,6082.59,6112.18,4166.697298,2020-03-21 00:59:59.999000-05:00,25609083.45843942,2007.534655,12340097.51555421,0.050676554,0.0506291,4.7452748e-05
6112.34,6236.45,6026.0,6227.72,4379.51758,2020-03-21 01:59:59.999000-05:00,26858113.52266426,2120.785211,13010123.92108747,0.050200135,0.049754404,0.00044573098
6226.83,6229.11,6084.73,6151.16,3759.023892,2020-03-21 02:59:59.999000-05:00,23102280.27815515,1854.380042,11396760.600985,0.050825745,0.0488922,0.0019335449
6151.17,6170.0,6031.06,6112.51,4936.347541,2020-03-21 03:59:59.999000-05:00,30146238.02575007,2339.651575,14294937.07445116,0.052201867,0.049787007,0.0024148598
6114.2,6135.15,5900.0,5976.4,7927.970813,2020-03-21 04:59:59.999000-05:00,47562840.11171345,3495.643396,20972069.58338811,0.049832374,0.048969295,0.000863079
5976.17,6040.0,5938.78,5974.53,4063.23489,2020-03-21 05:59:59.999000-05:00,24341600.31957678,2059.692347,12339490.55642365,0.04974538,0.04697247,0.0027729124
